amostra_id,idade_label,epsilon_t,pred_Ridge,erro_Ridge,pred_Random Forest,erro_Random Forest,pred_Gradient Boosting,erro_Gradient Boosting,pred_Extra Trees,erro_Extra Trees
8,7 dias,-370.0,-24.40107145609477,345.59892854390523,-72.23984126984128,297.7601587301587,-96.81620144971956,273.18379855028047,-107.18666666666662,262.8133333333334
8,14 dias,-500.0,-145.31031242190664,354.68968757809336,-176.11322954822958,323.8867704517704,-196.8727004586769,303.1272995413231,-184.80333333333337,315.1966666666666
8,28 dias,-580.0,-262.5244778067684,317.4755221932316,-300.83446969696973,279.16553030303027,-298.89393656385397,281.10606343614603,-313.2483333333332,266.7516666666668
8,56 dias,-740.0,-395.1542474254131,344.8457525745869,-482.98383477633485,257.01616522366515,-421.1226047785696,318.8773952214304,-474.36000000000007,265.63999999999993
9,12 h,0.0,20.831721470677223,20.831721470677223,0.26577922077922084,0.26577922077922084,-5.921184530821937,5.921184530821937,0.08166666666666667,0.08166666666666667
9,1 dia,70.0,26.203362733560596,43.796637266439404,19.189595404595405,50.81040459540459,7.930763684649812,62.06923631535019,35.91583333333334,34.08416666666666
9,3 dias,150.0,30.20791339660508,119.79208660339492,26.047341269841255,123.95265873015875,33.607469518918975,116.39253048108102,79.07285714285716,70.92714285714284
9,7 dias,170.0,22.749388823413454,147.25061117658655,39.75722222222222,130.24277777777777,31.057783669589202,138.9422163304108,112.45333333333333,57.54666666666667
9,14 dias,-60.0,-95.35698601420398,35.35698601420398,-82.69464285714288,22.69464285714288,-125.98142377125407,65.98142377125407,-78.95214285714285,18.952142857142846
9,28 dias,-260.0,-210.71943870361497,49.28056129638503,-266.6743711843712,6.674371184371182,-256.90804607193576,3.0919539280642425,-196.45333333333332,63.54666666666668
9,56 dias,-270.0,-344.53932573053794,74.53932573053794,-407.75166833166827,137.75166833166827,-394.0092692656318,124.00926926563181,-330.11833333333345,60.11833333333345
10,12 h,0.0,-142.57038491067624,142.57038491067624,0.0,0.0,-59.41386068943602,59.41386068943602,0.0,0.0
10,1 dia,-40.0,-128.06218981516747,88.06218981516747,-57.09273809523809,17.09273809523809,-74.76531671952121,34.76531671952121,-51.51666666666666,11.516666666666659
10,3 dias,-120.0,-112.18768281442696,7.812317185573036,-106.14155122655121,13.858448773448785,-99.25425379861281,20.745746201387192,-109.29666666666667,10.703333333333333
10,7 dias,-170.0,-114.61133068344961,55.38866931655039,-150.4246717171717,19.57532828282831,-138.34455552833214,31.655444471667863,-144.83500000000004,25.164999999999964
10,14 dias,-380.0,-238.4750166125125,141.5249833874875,-227.75289682539685,152.24710317460315,-226.24300774608014,153.75699225391986,-216.03500000000003,163.96499999999997
