amostra_id,idade_label,idade_dias,epsilon_t,epsilon_previsto,residuo,erro_absoluto,sinal_real,sinal_previsto
14,28 dias,28.0,-530.0,-399.1662899759605,-130.83371002403948,130.83371002403948,retracao,retracao
14,56 dias,56.0,-630.0,-531.7960595946053,-98.20394040539475,98.20394040539475,retracao,retracao
15,12 h,0.5,0.0,40.06745950001286,-40.06745950001286,40.06745950001286,estabilidade,expansao
15,1 dia,1.0,30.0,45.4391007628962,-15.439100762896203,15.439100762896203,expansao,expansao
15,3 dias,3.0,70.0,49.44365142594066,20.556348574059342,20.556348574059342,expansao,expansao
15,7 dias,7.0,110.0,41.98512685274903,68.01487314725097,68.01487314725097,expansao,expansao
15,14 dias,14.0,-20.0,-76.12124798486838,56.121247984868376,56.121247984868376,retracao,retracao
15,28 dias,28.0,-140.0,-191.48370067427936,51.48370067427936,51.48370067427936,retracao,retracao
15,56 dias,56.0,-370.0,-325.30358770120233,-44.69641229879767,44.69641229879767,retracao,retracao
16,12 h,0.5,0.0,-78.39743266757235,78.39743266757235,78.39743266757235,estabilidade,retracao
16,1 dia,1.0,-60.0,-63.889237572063564,3.889237572063564,3.889237572063564,retracao,retracao
16,3 dias,3.0,-180.0,-48.0147305713231,-131.9852694286769,131.9852694286769,retracao,retracao
16,7 dias,7.0,-300.0,-50.43837844034573,-249.56162155965427,249.56162155965427,retracao,retracao
16,14 dias,14.0,-400.0,-174.30206436940858,-225.69793563059142,225.69793563059142,retracao,retracao
16,28 dias,28.0,-530.0,-296.3166975745147,-233.6833024254853,233.6833024254853,retracao,retracao
16,56 dias,56.0,-630.0,-434.12980899885554,-195.87019100114446,195.87019100114446,retracao,retracao
17,12 h,0.5,0.0,11.8733589852486,-11.8733589852486,11.8733589852486,estabilidade,expansao
17,1 dia,1.0,20.0,26.166069933733795,-6.1660699337337945,6.1660699337337945,expansao,expansao
17,3 dias,3.0,40.0,30.603100778034033,9.396899221965967,9.396899221965967,expansao,expansao
17,7 dias,7.0,90.0,27.67860131555527,62.32139868444473,62.32139868444473,expansao,expansao
17,14 dias,14.0,-30.0,-93.2306396502566,63.230639650256606,63.230639650256606,retracao,retracao
17,28 dias,28.0,-140.0,-210.4448050351184,70.4448050351184,70.4448050351184,retracao,retracao
17,56 dias,56.0,-360.0,-343.0745746537631,-16.92542534623692,16.92542534623692,retracao,retracao
18,12 h,0.5,0.0,64.57609768638639,-64.57609768638639,64.57609768638639,estabilidade,expansao
18,1 dia,1.0,60.0,69.94773894926976,-9.947738949269763,9.947738949269763,expansao,expansao
18,3 dias,3.0,100.0,73.95228961231422,26.047710387685783,26.047710387685783,expansao,expansao
18,7 dias,7.0,-20.0,66.49376503912262,-86.49376503912262,86.49376503912262,retracao,expansao
18,14 dias,14.0,-130.0,-51.61260979849483,-78.38739020150517,78.38739020150517,retracao,retracao
18,28 dias,28.0,-240.0,-166.9750624879058,-73.0249375120942,73.0249375120942,retracao,retracao
18,56 dias,56.0,-360.0,-300.7949495148288,-59.20505048517123,59.20505048517123,retracao,retracao
19,12 h,0.5,0.0,47.273464943336194,-47.273464943336194,47.273464943336194,estabilidade,expansao
19,1 dia,1.0,30.0,61.78166003884502,-31.78166003884502,31.78166003884502,expansao,expansao
