amostra_id,idade_label,real,previsto
71,14 dias,260.0,121.51379386080964
71,28 dias,330.0,219.17181311799192
71,56 dias,450.0,344.4878516323565
72,12 h,0.0,-16.289162932942986
72,1 dia,60.0,33.15510353178618
72,3 dias,80.0,81.93936363530716
72,7 dias,120.0,130.94673276321242
72,14 dias,80.0,130.8643049960396
72,28 dias,220.0,230.4063833630212
72,56 dias,310.0,354.2771816344114
73,12 h,0.0,7.997872540425789
73,1 dia,30.0,56.218338937018046
73,3 dias,80.0,106.94193114209241
73,7 dias,110.0,153.49702922130584
73,14 dias,200.0,139.44686812611639
73,28 dias,320.0,238.23995902898665
73,56 dias,450.0,368.2262665005422
74,12 h,0.0,-9.75576367238736
74,1 dia,80.0,44.579915843734824
74,3 dias,120.0,88.18162671397974
74,7 dias,150.0,133.0828901810882
74,14 dias,50.0,129.1780868600392
74,28 dias,170.0,226.83610611722145
74,56 dias,310.0,352.1521446315861
75,12 h,0.0,-0.17434474374638853
75,1 dia,10.0,49.26992172098278
75,3 dias,30.0,98.05418182450373
75,7 dias,70.0,147.06155095240905
75,14 dias,150.0,146.97912318523623
75,28 dias,230.0,246.5212015522178
75,56 dias,310.0,370.39199982360805
76,12 h,0.0,2.4353693192115315
76,1 dia,60.0,50.65583571580382
76,3 dias,100.0,101.37942792087813
76,7 dias,150.0,147.93452600009155
76,14 dias,210.0,133.8843649049021
76,28 dias,300.0,232.67745580777236
76,56 dias,450.0,362.6637632793279
77,12 h,0.0,-1.3048205473765222
77,1 dia,30.0,53.03085896874566
77,3 dias,50.0,96.63256983899059
77,7 dias,90.0,141.53383330609904
77,14 dias,150.0,137.62902998505004
77,28 dias,200.0,235.28704924223229
77,56 dias,310.0,360.60308775659695
78,12 h,0.0,-29.70993015608684
78,1 dia,60.0,19.734336308642384
78,3 dias,90.0,68.51859641216336
78,7 dias,120.0,117.52596554006863
78,14 dias,30.0,117.44353777289581
78,28 dias,140.0,216.98561613987738
78,56 dias,310.0,340.8564144112676
79,12 h,0.0,-0.4101013829034912
79,1 dia,70.0,47.81036501368877
79,3 dias,90.0,98.5339572187631
79,7 dias,130.0,145.08905529797653
79,14 dias,200.0,131.03889420278708
79,28 dias,320.0,229.83198510565734
79,56 dias,440.0,359.8182925772129
80,12 h,0.0,31.20985998058063
80,1 dia,60.0,85.54553949670282
80,3 dias,80.0,129.14725036694767
80,7 dias,120.0,174.04851383405617
80,14 dias,80.0,170.14371051300714
80,28 dias,220.0,267.80172977018935
80,56 dias,310.0,393.1177682845541
81,12 h,0.0,-22.075692396528268
81,1 dia,40.0,27.368574068200957
81,3 dias,90.0,76.1528341717219
81,7 dias,120.0,125.16020329962717
81,14 dias,50.0,125.07777553245435
81,28 dias,130.0,224.61985389943595
81,56 dias,310.0,348.4906521708262
82,12 h,0.0,68.48922687454979
82,1 dia,90.0,116.70969327114204
82,3 dias,140.0,167.43328547621638
82,7 dias,210.0,213.9883835554298
82,14 dias,270.0,199.93822246024035
82,28 dias,320.0,298.73131336311064
82,56 dias,440.0,428.71762083466615
83,12 h,0.0,-17.95790426353244
83,1 dia,30.0,36.377775252589686
83,3 dias,90.0,79.97948612283462
83,7 dias,150.0,124.88074958994308
