wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,28.0,672,CP II E 40,Não informado,Não informado,ES,Sudeste,28 dias,-580.0,6,-351.8516666666666,-228.14833333333343,228.14833333333343,retracao
0.52,385,200.20000000000002,0.0,0.0,5.5,0.6,56.0,1344,CP II E 40,Não informado,Não informado,ES,Sudeste,56 dias,-760.0,6,-475.025,-284.975,284.975,retracao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,0.5,12,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,12 h,0.0,7,0.41999999999999993,-0.41999999999999993,0.41999999999999993,expansao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,1.0,24,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,1 dia,110.0,7,29.055476190476178,80.94452380952382,80.94452380952382,expansao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,3.0,72,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,3 dias,190.0,7,72.44841269841271,117.55158730158729,117.55158730158729,expansao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,7.0,168,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,7 dias,220.0,7,93.93785714285714,126.06214285714286,126.06214285714286,expansao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,14.0,336,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,14 dias,-40.0,7,-59.72119047619046,19.721190476190458,19.721190476190458,retracao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,28.0,672,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,28 dias,-270.0,7,-175.73000000000005,-94.26999999999995,94.26999999999995,retracao
0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,56.0,1344,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,56 dias,-390.0,7,-283.1650000000001,-106.83499999999992,106.83499999999992,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,0.5,12,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,12 h,0.0,8,0.0,0.0,0.0,estabilidade
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,1.0,24,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,1 dia,-90.0,8,-29.83000000000001,-60.16999999999999,60.16999999999999,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,3.0,72,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,3 dias,-250.0,8,-62.845,-187.155,187.155,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,7 dias,-370.0,8,-107.18666666666662,-262.8133333333334,262.8133333333334,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-500.0,8,-184.80333333333337,-315.1966666666666,315.1966666666666,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,28 dias,-580.0,8,-313.2483333333332,-266.7516666666668,266.7516666666668,retracao
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,56 dias,-740.0,8,-474.36000000000007,-265.63999999999993,265.63999999999993,retracao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,0.5,12,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,12 h,0.0,9,0.08166666666666667,-0.08166666666666667,0.08166666666666667,expansao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,1.0,24,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,1 dia,70.0,9,35.91583333333334,34.08416666666666,34.08416666666666,expansao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,3.0,72,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,3 dias,150.0,9,79.07285714285716,70.92714285714284,70.92714285714284,expansao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,7.0,168,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,7 dias,170.0,9,112.45333333333333,57.54666666666667,57.54666666666667,expansao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,14.0,336,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,14 dias,-60.0,9,-78.95214285714285,18.952142857142846,18.952142857142846,retracao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,28.0,672,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,28 dias,-260.0,9,-196.45333333333332,-63.54666666666668,63.54666666666668,retracao
0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,56.0,1344,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,56 dias,-270.0,9,-330.11833333333345,60.11833333333345,60.11833333333345,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,0.5,12,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,12 h,0.0,10,0.0,0.0,0.0,estabilidade
0.49,380,186.2,0.0,0.0,0.0,0.6,1.0,24,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,1 dia,-40.0,10,-51.51666666666666,11.516666666666659,11.516666666666659,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,3.0,72,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,3 dias,-120.0,10,-109.29666666666667,-10.703333333333333,10.703333333333333,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,7.0,168,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,7 dias,-170.0,10,-144.83500000000004,-25.164999999999964,25.164999999999964,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,14.0,336,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,14 dias,-380.0,10,-216.03500000000003,-163.96499999999997,163.96499999999997,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,28.0,672,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,28 dias,-550.0,10,-334.51166666666666,-215.48833333333334,215.48833333333334,retracao
0.49,380,186.2,0.0,0.0,0.0,0.6,56.0,1344,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,56 dias,-660.0,10,-474.99000000000024,-185.00999999999976,185.00999999999976,retracao
0.5,384,192.0,12.5,0.0,4.5,0.6,0.5,12,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,0.0,11,0.0,0.0,0.0,estabilidade
0.5,384,192.0,12.5,0.0,4.5,0.6,1.0,24,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,10.0,11,26.88333333333333,-16.88333333333333,16.88333333333333,expansao
0.5,384,192.0,12.5,0.0,4.5,0.6,3.0,72,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,20.0,11,53.50499999999999,-33.50499999999999,33.50499999999999,expansao
0.5,384,192.0,12.5,0.0,4.5,0.6,7.0,168,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,50.0,11,75.91833333333335,-25.91833333333335,25.91833333333335,expansao
