amostra_id,idade_label,real,previsto
77,3 dias,-50.0,87.53356779438887
77,7 dias,-90.0,84.60906833191011
77,14 dias,-150.0,-36.30017263390178
77,28 dias,-200.0,-153.51433801876357
77,56 dias,-310.0,-286.14410763740824
78,12 h,0.0,98.93890523002005
78,1 dia,60.0,104.31054649290343
78,3 dias,90.0,108.31509715594785
78,7 dias,120.0,100.85657258275629
78,14 dias,-30.0,-17.249802254861166
78,28 dias,-140.0,-132.61225494427214
78,56 dias,-310.0,-266.4321419711951
79,12 h,0.0,-68.71434393441467
79,1 dia,-70.0,-54.206148838905904
79,3 dias,-90.0,-38.33164183816541
79,7 dias,-130.0,-40.75528970718807
79,14 dias,-200.0,-164.61897563625092
79,28 dias,-320.0,-286.63360884135705
79,56 dias,-440.0,-424.4467202656979
80,12 h,0.0,70.91519369945023
80,1 dia,60.0,85.20790464793542
80,3 dias,80.0,89.64493549223566
80,7 dias,120.0,86.7204360297569
80,14 dias,80.0,-34.18880493605498
80,28 dias,-220.0,-151.40297032091678
80,56 dias,-310.0,-284.03273993956145
81,12 h,0.0,50.60728977545767
81,1 dia,40.0,55.978931038341045
81,3 dias,90.0,59.98348170138547
81,7 dias,120.0,52.52495712819385
81,14 dias,-50.0,-65.58141770942356
81,28 dias,-130.0,-180.94387039883458
81,56 dias,-310.0,-314.76375742575755
82,12 h,0.0,-147.9446737733808
82,1 dia,-90.0,-133.436478677872
82,3 dias,-140.0,-117.56197167713152
82,7 dias,-210.0,-119.98561954615417
82,14 dias,-270.0,-243.84930547521705
82,28 dias,-320.0,-365.86393868032314
82,56 dias,-440.0,-503.6770501046639
83,12 h,0.0,130.44299480351702
83,1 dia,30.0,144.73570575200222
83,3 dias,90.0,149.17273659630246
83,7 dias,150.0,146.2482371338237
83,14 dias,10.0,25.338996168011747
83,28 dias,-180.0,-91.87516921685
83,56 dias,-310.0,-224.50493883549473
84,12 h,0.0,65.8441141114792
84,1 dia,30.0,71.21575537436257
84,3 dias,70.0,75.22030603740706
84,7 dias,120.0,67.76178146421546
84,14 dias,-50.0,-50.344593373402006
84,28 dias,-150.0,-165.707046062813
84,56 dias,-310.0,-299.52693308973596
85,12 h,0.0,-91.39093144529848
85,1 dia,-40.0,-76.8827363497897
85,3 dias,-90.0,-61.0082293490492
85,7 dias,-140.0,-63.43187721807186
85,14 dias,-220.0,-187.29556314713474
85,28 dias,-300.0,-309.31019635224084
85,56 dias,-440.0,-447.12330777658167
86,12 h,0.0,29.38958486207487
86,1 dia,40.0,43.682295810560035
86,3 dias,70.0,48.119326654860274
86,7 dias,90.0,45.19482719238151
86,14 dias,-30.0,-75.71441377343037
86,28 dias,-150.0,-192.9285791582921
86,56 dias,-310.0,-325.55834877693684
87,12 h,0.0,95.99123441937095
87,1 dia,40.0,101.3628756822543
87,3 dias,110.0,105.36742634529872
87,7 dias,150.0,97.90890177210713
87,14 dias,0.0,-20.19747306551028
87,28 dias,-90.0,-135.55992575492127
87,56 dias,-300.0,-269.37981278184424
88,12 h,0.0,-90.02779000380374
88,1 dia,-50.0,-75.51959490829495
88,3 dias,-90.0,-59.645087907554455
88,7 dias,-160.0,-62.068735776577114
88,14 dias,-200.0,-185.93242170564
88,28 dias,-310.0,-307.9470549107461
88,56 dias,-440.0,-445.76016633508686
89,12 h,0.0,93.94332006190528
89,1 dia,40.0,108.23603101039045
89,3 dias,100.0,112.67306185469069
89,7 dias,150.0,109.7485623922119
89,14 dias,-10.0,-11.16067857359998
89,28 dias,-130.0,-128.37484395846172
89,56 dias,-300.0,-261.00461357710645
90,12 h,0.0,-103.15275840474587
90,1 dia,-30.0,-97.7811171418625
90,3 dias,-70.0,-93.77656647881808
90,7 dias,-120.0,-101.2350910520097
90,14 dias,-190.0,-219.3414658896271
90,28 dias,-260.0,-334.70391857903815
90,56 dias,-440.0,-468.5238056059611
91,12 h,0.0,59.750914351945
91,1 dia,30.0,74.25910944745374
91,3 dias,80.0,90.13361644819429
91,7 dias,110.0,87.70996857917169
91,14 dias,-50.0,-36.15371734989128
91,28 dias,-160.0,-158.16835055499737
91,56 dias,-300.0,-295.9814619793382
92,12 h,0.0,-94.22939311792176
92,1 dia,-30.0,-79.93668216943657
92,3 dias,-100.0,-75.49965132513633
92,7 dias,-150.0,-78.4241507876151
92,14 dias,-210.0,-199.333391753427
92,28 dias,-290.0,-316.54755713828877
92,56 dias,-440.0,-449.17732675693344
93,12 h,0.0,74.23880285739597
93,1 dia,30.0,79.61044412027928
93,3 dias,70.0,83.61499478332377
93,7 dias,100.0,76.15647021013214
93,14 dias,-70.0,-41.94990462748531
93,28 dias,-170.0,-157.3123573168963
93,56 dias,-300.0,-291.13224434381925
94,12 h,0.0,-123.32398124300133
94,1 dia,-50.0,-108.81578614749255
94,3 dias,-100.0,-92.94127914675205
94,7 dias,-160.0,-95.36492701577471
94,14 dias,-260.0,-219.22861294483758
94,28 dias,-340.0,-341.2432461499436
94,56 dias,-440.0,-479.0563575742845
95,12 h,0.0,54.475078904456026
95,1 dia,20.0,68.76778985294122
95,3 dias,80.0,73.20482069724146
95,7 dias,120.0,70.2803212347627
95,14 dias,-20.0,-50.628919731049194
95,28 dias,-120.0,-167.84308511591098
95,56 dias,-300.0,-300.4728547345557
96,12 h,0.0,49.625017751733225
96,1 dia,90.0,54.99665901461657
96,3 dias,140.0,59.00120967766105
96,7 dias,160.0,51.54268510446943
96,14 dias,-50.0,-66.56368973314801
96,28 dias,-160.0,-181.926142422559
96,56 dias,-290.0,-315.74602944948197
97,12 h,0.0,1.1755476739037363
