amostra_id,wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,cement,curing,local_ensaio,estado,regiao,epsilon_t,idade_label,idade_dias,idade_horas,epsilon_abs_t,sinal
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,190.0,3 dias,3.0,72,190.0,expansao
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,220.0,7 dias,7.0,168,220.0,expansao
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-40.0,14 dias,14.0,336,40.0,retracao
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-270.0,28 dias,28.0,672,270.0,retracao
7,0.547,320,175.04000000000002,12.5,0.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-390.0,56 dias,56.0,1344,390.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-90.0,1 dia,1.0,24,90.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-250.0,3 dias,3.0,72,250.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-370.0,7 dias,7.0,168,370.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-500.0,14 dias,14.0,336,500.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-580.0,28 dias,28.0,672,580.0,retracao
8,0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,-740.0,56 dias,56.0,1344,740.0,retracao
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,70.0,1 dia,1.0,24,70.0,expansao
